titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
TABLEAU ÉLECTRIQUE LEGRAND 4 RANGÉE ÉQUIPÉ ET PRÉ CABLÉ ( LEG4R) PORTE OFFERTE;489;FALSE;13.455.641.916;9;legrand;https://www.manomano.fr/catalogue/p/tableau-electrique-legrand-4-rangee-equipe-et-pre-cable-leg4r-porte-offerte-26113678?model_id=26094569;cuadros;14/12/2020
TABLEAU ÉLECTRIQUE HAGER 4 RANGÉE ÉQUIPÉ ET PRÉ CABLÉ (HAG4R) PORTE OFFERTE;389;FALSE;13.360.652.428;;siemens;https://www.manomano.fr/catalogue/p/tableau-electrique-hager-4-rangee-equipe-et-pre-cable-hag4r-porte-offerte-26113691?model_id=26094582;cuadros;14/12/2020
Tableau électrique pré-équipé 1 rangée 13 modules 1 ID + 6 disjoncteurs NALTO;48.9;FALSE;13.038.967.006;;legrand;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-equipe-nalto-1-rangee-1-id-6-disjoncteurs-13980778;cuadros;14/12/2020
CONNECTEUR CBS/CT 25 MICHAUD K322;4.73;FALSE;0.865387311;;siemens;https://www.manomano.fr/catalogue/p/connecteur-cbs-ct-25-michaud-k322-7673539;cuadros;14/12/2020
Legrand 093065 Essentiel Spécial Tableau Électrique Équipé pour Logement;219;FALSE;0.853696602;;hager;https://www.manomano.fr/catalogue/p/legrand-093065-essentiel-special-tableau-electrique-equipe-pour-logement-25566795?model_id=25547687;cuadros;14/12/2020
Legrand 093068 Essentiel Spécial Tableau Électrique Équipé pour Logement T5;429;FALSE;0.80610185;;siemens;https://www.manomano.fr/catalogue/p/legrand-093068-essentiel-special-tableau-electrique-equipe-pour-logement-t5-22796946?model_id=22787199;cuadros;14/12/2020
Legrand 093057 Essentiel Spécial Tableau Électrique Équipé pour Logement T4;289;FALSE;0.582039737;9.9;nalto;https://www.manomano.fr/catalogue/p/legrand-093057-essentiel-special-tableau-electrique-equipe-pour-logement-t4-25566797?model_id=25547689;cuadros;14/12/2020
HAGER Gamma Tableau électrique prééquipé 1 rangée 1ID 40A 6 disjoncteurs;99;FALSE;0.561560563;;siemens;https://www.manomano.fr/catalogue/p/hager-gamma-tableau-electrique-preequipe-1-rangee-1id-40a-6-disjoncteurs-25566810?model_id=25547702;cuadros;14/12/2020
Coffret électrique 2 rangées 26 modules - Idéal T1/T2 - Thomson;126.99;FALSE;0.49570001;9.99;michaud;https://www.manomano.fr/catalogue/p/coffret-electrique-pre-equipe-pour-t1-t2-t3-t4-ou-t5-12276959?model_id=15304451;cuadros;14/12/2020
SERRURE RECTANGULAIRE POUR S20 MICHAUD N037;3.78;FALSE;0.44084692;9;legrand;https://www.manomano.fr/catalogue/p/serrure-rectangulaire-pour-s20-michaud-n037-7673564;cuadros;14/12/2020
Legrand 093067 Essentiel Spécial Tableau Électrique Équipé pour Logement T4;329;FALSE;0.420882924;9;legrand;https://www.manomano.fr/catalogue/p/legrand-093067-essentiel-special-tableau-electrique-equipe-pour-logement-t4-25566791?model_id=25547683;cuadros;14/12/2020
Coffret Multimédia Basique avec brassage équipé et précâblé 4 prises RJ45;129.44;FALSE;0.414439449;9;legrand;https://www.manomano.fr/catalogue/p/coffret-multimedia-legrand-basique-avec-brassage-equipe-et-precable-4-prises-rj-45-55275?model_id=477010;cuadros;14/12/2020
Legrand 093059 Essentiel Spécial Tableau Électrique Équipé pour Logement T6. Blanc;379;FALSE;0.404909591;5;hager;https://www.manomano.fr/catalogue/p/legrand-093059-essentiel-special-tableau-electrique-equipe-pour-logement-t6-blanc-25566798?model_id=25547690;cuadros;14/12/2020
