titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
Interrupteur différentiel 40A 2P 30mA type AC instantané IDclic XP SCHNEIDER ELECTRIC 23160;34.42;FALSE;18.326.646.622;;legrand;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-monophase-type-a-ac-25-40-a-schneider-53883;diferenciales;14/12/2020
Interrupteur différentiel Resi9 xp 2P 63A 30ma type A - Schneider R9PRA263;79.86;FALSE;14.705.522.205;;siemens;https://www.manomano.fr/catalogue/p/inter-differentiel-schneider-2p-63a-30ma-type-a-peignable-alimentation-bas-resi9-xp-6341923;diferenciales;14/12/2020
Interrupteur différentiel Legrand 40A ID DX3 type AC 2P 30mA;37.99;FALSE;11.342.149.359;3.99;schneider;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-monophase-legrand-dx3-a-et-ac-25-40-a-30ma-54754;diferenciales;14/12/2020
Interrupteur differentiel 40a Hager 30ma type a;49.26;FALSE;11.084.395.657;3.25;SCHNEIDER;https://www.manomano.fr/catalogue/p/inter-diff-2p-40a-30ma-a-borne-dec-cda743f-54179;diferenciales;14/12/2020
Interrupteur différentiel 63A - 30mA type AC NALTO;19.5;FALSE;10.834.438.258;;thomson;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-63a-type-ac-13980769;diferenciales;14/12/2020
Inter diff DX³-ID - vis/vis - 4P- 400V~- 63A - type AC - 300mA - départ bas - 4M;60.9;FALSE;0.974590234;;legrand;https://www.manomano.fr/catalogue/p/dx3-id-4pg-25a-ac-30ma-436343?model_id=1786053;diferenciales;14/12/2020
Interrupteur différentiel 40A 30mA Type AC embrochable sur répartiteur IDCLIC XE (non peignable) SCHNEIDER 16160;34.42;FALSE;0.950969384;;hager;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-monophase-a-et-ac-40a-schneider-merlin-gerin-schneider-53890;diferenciales;14/12/2020
Interrupteur differentiel 40a Hager 30 ma type ac;38.89;FALSE;0.877830509;;siemens;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-monophase-40-63-a-type-a-et-ac-hager-54180;diferenciales;14/12/2020
Interrupteur differentiel 63a Hager 30 ma type ac;73.34;FALSE;0.848450926;9.9;nalto;https://www.manomano.fr/catalogue/p/interr-diff-2p-63a-30ma-type-ac-bornes-decalees-hager-54182;diferenciales;14/12/2020
Interrupteur-differentiel ac 40a 30 ma hager;47.5;FALSE;0.765658821;3.99;legrand;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-hager-a-et-ac-de-25-a-63-a-sanvis-54712?model_id=72196;diferenciales;14/12/2020
Disjoncteur Différentiel Legrand 40A Type AC 30mA 6kA Courbe C DX3 4500 - vis/vis - Uni+N 230V~ - 2 Modules;121.88;FALSE;0.752222873;3.99;schneider;https://www.manomano.fr/catalogue/p/disjoncteur-differentiel-monophase-dx3-10-20a-type-ac-hpi-pour-informatique-55180?model_id=55183;diferenciales;14/12/2020
Interrupteur différentiel XE 63A 30ma type AC - auto -230V Schneider R9ERC263;69.28;FALSE;0.714292733;;hager;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-2p-63a-30ma-type-ac-embrochable-resi9-xe-2-modules-schneider-electric-8096065;diferenciales;14/12/2020
SCHNEIDER ACTI9 IID INTERRUPTEUR DIFFÉRENTIEL 4P 40A 30MA TYPE AC - blanc;71.91;FALSE;0.662111571;;hager;https://www.manomano.fr/catalogue/p/acti9-iid-4p-40a-30ma-ac-96881;diferenciales;14/12/2020
Interrupteur différentiel dx3- vis/auto 63A - AC - 30ma - départ haut;54.3;FALSE;0.561828123;3.99;hager;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-legrand-63a-id-dx3-type-a-2p-30ma-legrand-55679?model_id=55680;diferenciales;14/12/2020
Interrupteur différentiel 2P 40A 30mA Type A Schneider Resi9 XP;46.67;FALSE;0.561343346;3.99;legrand;https://www.manomano.fr/catalogue/p/inter-differentiel-schneider-2p-40a-30ma-type-a-peignable-alimentation-bas-resi9-xp-6341922;diferenciales;14/12/2020
